Title,TV Show,Available Globally?,Premiere Year,Hours Viewed (in 1M units)
The Night Agent: Season 1,Yes,Yes,2023,812.1
Ginny & Georgia: Season 2,Yes,Yes,2023,665.1
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,Yes,2022,622.8
Wednesday: Season 1,Yes,Yes,2022,507.7
Queen Charlotte: A Bridgerton Story,NaN,Yes,2023,503.0
You: Season 4,Yes,Yes,2023,440.6
La Reina del Sur: Season 3,Yes,No,2022,429.6
Outer Banks: Season 3,Yes,Yes,2023,402.5
Ginny & Georgia: Season 1,Yes,Yes,2021,302.1
FUBAR: Season 1,Yes,Yes,2023,266.2
Manifest: Season 4,Yes,Yes,2022,262.6
Kaleidoscope: Limited Series,NaN,Yes,2023,252.5
Firefly Lane: Season 2,Yes,Yes,2022,251.5
The Mother,NaN,Yes,2023,249.9
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,Yes,2023,235.0
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,NaN,Yes,2023,234.8
Love Is Blind: Season 4,Yes,Yes,2023,229.7
BEEF: Season 1,Yes,Yes,2023,221.1
The Diplomat: Season 1,Yes,Yes,2023,214.1
Luther: The Fallen Sun,NaN,Yes,2023,209.7
Fake Profile: Season 1 // Perfil falso: Temporada 1,Yes,No,2023,206.5
Vikings: Valhalla: Season 2,Yes,Yes,2023,205.5
Extraction 2,NaN,Yes,2023,201.8
"XO, Kitty: Season 1",Yes,Yes,2023,200.7
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,NaN,Yes,2023,194.7
Shadow and Bone: Season 2,Yes,Yes,2023,192.9
Outer Banks: Season 1,Yes,Yes,2020,184.0
Sweet Tooth: Season 2,Yes,Yes,2023,182.3
You People,NaN,Yes,2023,181.8
Perfect Match: Season 1,Yes,Yes,2023,176.8
Sex/Life: Season 2,Yes,Yes,2023,175.5
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,Yes,2023,174.3
Murder Mystery 2,NaN,Yes,2023,173.6
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,Yes,No,2023,172.4
"Pablo Escobar, el patrón del mal: Season 1",Yes,Yes,NaN,170.1
Never Have I Ever: Season 4,Yes,Yes,2023,168.3
Your Place or Mine,NaN,Yes,2023,163.0
Chiquititas (2013),NaN,No,NaN,162.0
Emily in Paris: Season 3,Yes,Yes,2022,161.1
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,Yes,2022,157.6
Alchemy of Souls: Part 1 // 환혼: 파트 1,NaN,Yes,2022,155.3
Outer Banks: Season 2,Yes,Yes,2021,153.9
